z,charge,jt_GeV,A_UT,A_UT_coarse,FUU_reduced,FUT_reduced
1.300000000000000044e-01,1.000000000000000000e+00,2.880120431612111509e-01,2.682531275019694669e-03,2.682529489758282010e-03,6.407827308399540985e-04,1.718919715970703795e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.004602844010243468e-01,2.700400640042237461e-03,2.700399090513223247e-03,6.242742465599160047e-04,1.685790574972282783e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.134465542186142262e-01,2.711155194329758697e-03,2.711153894948806469e-03,6.068562732581026875e-04,1.645281537455304551e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.269941068829917974e-01,2.714320335529055161e-03,2.714319298429115380e-03,5.885273331635654595e-04,1.597451708420549002e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.411272017418006119e-01,2.709493497225405698e-03,2.709492732085323329e-03,5.692949967155710002e-04,1.542501091603798214e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.558711466620742558e-01,2.696364581900897398e-03,2.696364095978447985e-03,5.491771990399761010e-04,1.480781948678931028e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.712523433485573343e-01,2.674736800769089966e-03,2.674736599210914001e-03,5.282035506501539307e-04,1.412805475220866706e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.872983346207417577e-01,2.644546955618499486e-03,2.644547042120892408e-03,5.064165931682845486e-04,1.339242459737879193e-06
1.300000000000000044e-01,1.000000000000000000e+00,4.040378537332751097e-01,2.605883970759961376e-03,2.605884348647858999e-03,4.838729394786653727e-04,1.260916736871959019e-06
1.300000000000000044e-01,1.000000000000000000e+00,4.215008758280593404e-01,2.559004286988598390e-03,2.559004960762107164e-03,4.606442264023698501e-04,1.178790550140210918e-06
1.300000000000000044e-01,1.000000000000000000e+00,4.397186716101729176e-01,2.504342597130611563e-03,2.504343574495284698e-03,4.368177976491684927e-04,1.093941417837592572e-06
1.300000000000000044e-01,1.000000000000000000e+00,4.587238633437344948e-01,2.442516372543090172e-03,2.442517666889238662e-03,4.124970266832086530e-04,1.007530741299081098e-06
1.300000000000000044e-01,1.000000000000000000e+00,4.785504832679771670e-01,2.374322741682171733e-03,2.374324374907519665e-03,3.878011847521440941e-04,9.207651722083051103e-07
1.300000000000000044e-01,1.000000000000000000e+00,4.992340345381389710e-01,2.300726570744547443e-03,2.300728576224010061e-03,3.628647604383173101e-04,8.348525959272915735e-07
1.300000000000000044e-01,1.000000000000000000e+00,5.208115548002949513e-01,2.222839084562463260e-03,2.222841509961936534e-03,3.378361455917928491e-04,7.509553885993718902e-07
1.300000000000000044e-01,1.000000000000000000e+00,5.433216825139731698e-01,2.141887052430510759e-03,2.141889961946090177e-03,3.128756202388394570e-04,6.701442400107357380e-07
1.300000000000000044e-01,1.000000000000000000e+00,5.668047261413169391e-01,2.059173414249691053e-03,2.059176889742026385e-03,2.881525975317272923e-04,5.933561680843239664e-07
1.300000000000000044e-01,1.000000000000000000e+00,5.913027363266896153e-01,1.976031162633453200e-03,1.976035303036418993e-03,2.638421298212293136e-04,5.213602705423302926e-07
1.300000000000000044e-01,1.000000000000000000e+00,6.168595811959725062e-01,1.893773210062926976e-03,1.893778128396926812e-03,2.401207281641993998e-04,4.547342021781633672e-07
1.300000000000000044e-01,1.000000000000000000e+00,6.435210249103920921e-01,1.813641707575489254e-03,1.813647524911000128e-03,2.171616081168720744e-04,3.938533497649230773e-07
1.300000000000000044e-01,1.000000000000000000e+00,6.713348096155424827e-01,1.736760682429680210e-03,1.736767518245452150e-03,1.951295406429401336e-04,3.388933141692227205e-07
1.300000000000000044e-01,1.000000000000000000e+00,7.003507409323472821e-01,1.664095789768453093e-03,1.664103748344161488e-03,1.741755523663695139e-04,2.898448033734702325e-07
1.300000000000000044e-01,1.000000000000000000e+00,7.306207771430480724e-01,1.596424356972714559e-03,1.596433509751994488e-03,1.544317761916241436e-04,2.465386490028677414e-07
1.300000000000000044e-01,1.000000000000000000e+00,7.621991222319222103e-01,1.534317775987530195e-03,1.534328140237712019e-03,1.360067920590521742e-04,2.086776387112434226e-07
1.300000000000000044e-01,1.000000000000000000e+00,7.951423229473382204e-01,1.478136836047987471e-03,1.478148350614981801e-03,1.189818086157397743e-04,1.758713941345367578e-07
1.300000000000000044e-01,1.000000000000000000e+00,8.295093700589535324e-01,1.428039074490615587e-03,1.428051573987775989e-03,1.034080116412422744e-04,1.476706812390744209e-07
1.300000000000000044e-01,1.000000000000000000e+00,8.653618039913759663e-01,1.383996007757921443e-03,1.384009197127250351e-03,8.930533949788852812e-05,1.235982333365435451e-07
1.300000000000000044e-01,1.000000000000000000e+00,9.027638250234443218e-01,1.345817504020781078e-03,1.345830936048813013e-03,7.666284062620833746e-05,1.031741928227066404e-07
1.300000000000000044e-01,1.000000000000000000e+00,9.417824082504592242e-01,1.313180736556791416e-03,1.313193795565114263e-03,6.544063126851665051e-05,8.593537636993209303e-08
1.300000000000000044e-01,1.000000000000000000e+00,9.824874235152266655e-01,1.285662033673400789e-03,1.285673929082325161e-03,5.557331871310312789e-05,7.144850595466822746e-08
